commit_id,cbo,wmc,rfc,changed_sloc
2068,7.488,12.601,12.0861,830
2069,7.4884,12.6018,12.0855,45
2070,7.4881,12.6025,12.0854,19
2071,7.488,12.6026,12.0843,677
2072,7.488,12.6026,12.084,479
2073,7.4881,12.6025,12.084,68
2074,7.4881,12.6012,12.0815,681
2075,7.4881,12.6016,12.0801,102
2076,7.4882,12.6016,12.08,37
2077,7.4882,12.6016,12.0796,725
2078,7.4877,12.6008,12.0786,128
2079,7.4877,12.6006,12.0786,8
2080,7.4877,12.6005,12.0785,643
2081,7.4877,12.6003,12.0785,839
2082,7.491,12.6037,12.0833,171
2083,7.491,12.6037,12.0834,6
2084,7.491,12.6037,12.0834,299
2085,7.491,12.6038,12.0833,14
2086,7.491,12.6038,12.0833,261
2087,7.4911,12.6044,12.0833,89
2088,7.4913,12.6038,12.0824,4
2089,7.4911,12.6044,12.0834,8
2090,7.4913,12.6038,12.0825,12
2091,7.4915,12.6038,12.0825,1925
2092,7.4915,12.6036,12.0823,20
2093,7.4818,12.6038,12.0821,18
2094,7.4818,12.6038,12.0821,56
2095,7.4818,12.6038,12.0821,128
2096,7.4817,12.6032,12.0816,36
2097,7.4812,12.6032,12.0815,244
2098,7.4671,12.5964,12.0718,235
2099,7.4682,12.5978,12.0734,361
2100,7.4679,12.5966,12.0718,15
2101,7.4679,12.5966,12.0718,160
2102,7.4679,12.5963,12.0716,689
2103,7.4679,12.5959,12.0713,564
2104,7.4679,12.5959,12.071,55
2105,7.4671,12.5966,12.0703,21
2106,7.4668,12.596,12.0699,175
2107,7.4669,12.5964,12.0701,2125
2108,7.4669,12.5962,12.07,457
2109,7.4669,12.5963,12.0701,23
2110,7.4661,12.5955,12.0697,100
2111,7.4658,12.5951,12.0694,83
2112,7.4658,12.5949,12.0693,18
2113,7.4657,12.5944,12.0691,1595
2114,7.4651,12.5939,12.0682,11
2115,7.4651,12.5939,12.0682,21
2134,7.4921,12.6107,12.0938,7
2135,7.4924,12.6108,12.0946,44
2136,7.4924,12.6102,12.0946,172
2137,7.4924,12.6101,12.0946,4025
2138,7.4925,12.6104,12.0948,8
2139,7.4925,12.6102,12.0948,54
2140,7.4925,12.6097,12.0948,11
2141,7.4651,12.5938,12.0681,854
2142,7.4667,12.5957,12.0707,14
2143,7.4668,12.5948,12.0709,69
2144,7.4668,12.5948,12.0709,55
2145,7.4668,12.5945,12.0709,409
2146,7.4674,12.5956,12.0711,66
2147,7.4674,12.5954,12.0711,288
2148,7.4679,12.5943,12.0707,5176
2149,7.4673,12.5965,12.0721,544
4258,4.4583,9.8642,10.7014,124
4259,4.4583,9.8639,10.7014,398
4260,4.4583,9.8632,10.7011,2445
4261,4.4583,9.8632,10.7011,518
4262,4.4572,9.8669,10.6971,916
4263,4.4572,9.8683,10.6981,18
4264,4.4568,9.8679,10.6967,180
4265,4.4579,9.8626,10.7017,377
4266,4.4579,9.8626,10.7017,236
4267,4.4579,9.8626,10.7014,403
4268,4.4579,9.8623,10.701,329
4269,4.4579,9.8616,10.7007,555
4270,4.4579,9.8581,10.7,346
4271,4.4579,9.8578,10.7,18
4272,4.4572,9.8564,10.6979,141
4273,4.4572,9.8502,10.6972,3
4274,4.4572,9.8502,10.6968,349
4275,4.4568,9.8498,10.6968,3
4276,4.4568,9.8495,10.6968,632
4277,4.4589,9.8502,10.702,2
4278,4.4552,9.8442,10.6985,9
4279,4.4552,9.8442,10.6985,13
4280,4.4515,9.8527,10.703,45
4281,4.4515,9.8524,10.7009,91
4282,4.4509,9.8513,10.7002,424
4283,4.4509,9.8513,10.7002,177
4284,4.4509,9.8513,10.7002,274
4285,4.4509,9.851,10.6999,104
4286,4.4485,9.8428,10.6932,178
4287,4.4478,9.8428,10.6925,61
4288,4.4478,9.8421,10.6925,401
4289,4.4478,9.841,10.6921,145
4290,4.4478,9.841,10.6921,24
4291,4.4439,9.8354,10.6895,2
4292,4.4439,9.8354,10.6891,23
4293,4.4454,9.8384,10.6911,353
4294,4.446,9.8405,10.6913,101
4295,4.4446,9.8345,10.6858,24
4296,4.4439,9.8339,10.6834,490
4297,4.4439,9.8349,10.6834,3
4298,4.4439,9.8328,10.6827,99
4299,4.4447,9.8255,10.6735,4
4300,4.4463,9.8285,10.6765,363
4301,4.4463,9.8282,10.6762,545
4302,4.444,9.8237,10.6711,110
4303,4.4428,9.823,10.6682,73
4304,4.4463,9.823,10.6589,31
4305,4.4463,9.8223,10.6575,5
4306,4.4468,9.8254,10.6598,360
4307,4.4475,9.8254,10.6598,175
4308,4.4472,9.8233,10.6574,7
4309,4.4472,9.8233,10.6574,2
4310,4.4479,9.8222,10.6549,34
4311,4.4484,9.819,10.6531,132
4312,4.4486,9.8242,10.6516,45
4313,4.4485,9.8208,10.6448,245
4314,4.4481,9.8194,10.6434,496
4315,4.4481,9.8198,10.6437,298
4316,4.4453,9.8158,10.6354,48
4317,4.4514,9.815,10.6605,115
4318,4.4517,9.8069,10.6564,7
4319,4.4395,9.786,10.5752,1434
4320,4.4395,9.785,10.5728,128
4321,4.4395,9.7843,10.5717,2
4322,4.4395,9.7883,10.5753,89
4323,4.4395,9.7883,10.5749,40
4324,4.4404,9.7961,10.567,894
4325,4.4404,9.7958,10.5673,254
4326,4.4404,9.7951,10.5666,228
4327,4.4365,9.7886,10.5614,191
4328,4.4353,9.7882,10.5602,49
4329,4.4319,9.7617,10.5348,2
4330,4.4319,9.7606,10.5319,169
4331,4.4289,9.7507,10.5277,4
4332,4.4271,9.7475,10.5252,45
4333,4.4267,9.7422,10.5185,43
4334,4.4267,9.7422,10.5178,86
4335,4.4267,9.7422,10.5178,42
3047,7.1367,12.8633,13.39,318
3048,7.1367,12.8668,13.39,79
3049,7.1367,12.8668,13.3876,78
3050,7.1379,12.8656,13.3841,86
3051,7.1379,12.8609,13.3817,6
3052,7.1379,12.8597,13.3805,17
3053,7.1391,12.8597,13.3698,10
3054,7.1379,12.8597,13.3698,2
3055,7.1379,12.8597,13.3698,7
3056,7.1379,12.8573,13.3698,2
3057,7.1356,12.8573,13.3698,133
3058,7.1176,12.8397,13.3729,10
3059,7.1188,12.842,13.3729,2
3060,7.1023,12.8323,13.327,28
3061,7.1023,12.8323,13.327,71
3062,7.1123,12.8244,13.3226,1
3063,7.1147,12.8184,13.3082,10
3064,7.1544,12.661,13.3185,114
3065,7.152,12.6574,13.3185,2
3066,7.1472,12.6031,13.2774,639
3067,7.1472,12.5995,13.275,17
3068,7.1484,12.6019,13.275,5
3069,7.1484,12.6019,13.275,93
3070,7.1435,12.5682,13.2437,82
3071,7.1435,12.5682,13.2437,30
3072,7.1411,12.5669,13.2425,406
3073,7.1399,12.5706,13.2425,472
3074,7.1482,12.5614,13.2422,11
3075,7.1679,12.5628,13.2379,105
3076,7.157,12.5592,13.256,2
3077,7.1729,12.5768,13.2539,145
773,5.4196,10.8531,11.7159,1089
774,5.4188,10.8502,11.711,12
775,5.4197,10.8583,11.7202,522
776,5.4197,10.8583,11.7202,33
777,5.4197,10.8583,11.7202,2
778,5.4188,10.8601,11.7216,3
779,5.4188,10.8597,11.7214,1156
780,5.4174,10.8341,11.7148,72
781,5.4174,10.8327,11.7146,113
782,5.4174,10.8327,11.7144,58
783,5.4174,10.8325,11.7142,70
784,5.4174,10.8317,11.7138,85
785,5.4174,10.8317,11.7138,75
786,5.4174,10.8317,11.7138,23
787,5.417,10.8313,11.7122,115
788,5.4373,10.8666,11.7415,117
789,5.4365,10.8666,11.7403,7
790,5.4363,10.8661,11.7399,9
791,5.4363,10.8661,11.7399,106
792,5.4365,10.8714,11.7436,4
793,5.4367,10.8714,11.7438,2
794,5.4367,10.8714,11.7434,4
795,5.4367,10.8714,11.7434,22
796,5.4367,10.8714,11.7434,32
797,5.4367,10.8714,11.7434,23
798,5.4367,10.8714,11.7434,163
799,5.4367,10.8714,11.7434,7
800,5.4367,10.8714,11.7434,2
801,5.4367,10.8712,11.7434,1
802,5.4367,10.8712,11.7434,54
803,5.4367,10.8712,11.7432,37
804,5.4367,10.8712,11.7432,165
805,5.4367,10.8712,11.7432,342
806,5.4367,10.8712,11.7432,3
807,5.4367,10.8712,11.7434,9
808,5.4367,10.8712,11.7434,56
809,5.4367,10.8714,11.7427,2
810,5.4367,10.8714,11.7427,9
811,5.4367,10.8714,11.7427,4
812,5.4367,10.8714,11.7427,14
813,5.4367,10.8714,11.7427,1189
